Area,Location,Property Type,Number of structures,Swimming Pool,Boundary,Age Category,Land Rate,Market Value,Number of rooms,Proximity to schools(km),Proximity to healthcare(km),Proximity to malls(km),Proximity to highway(km)
664.97,medium density,single_storey,1,No,walled,relatively new,64.28571429,90907.67857,3,0.588958758,0.819157792,4.385491211,0.056700365
410.38,medium density,single_storey,1,No,walled,relatively new,57.14285714,71582.36429,4,0.578915056,0.83044506,4.383912136,0.042547576
415.96,medium density,single_storey,1,No,walled,relatively new,57.14285714,58172.67143,4,0.771808822,0.649766051,4.403082263,0.083568209
406.82,medium density,single_storey,1,No,walled,relatively new,35.71428571,61549.54286,4,0.756439062,0.660391572,4.395832429,0.079015218
426.6,medium density,single_storey,1,No,walled,relatively new,57.14285714,71291.11429,3,0.744601032,0.668752193,4.388655247,0.080939466
603.53,medium density,single_storey,2,No,walled,relatively new,64.28571429,85537.22857,5,0.790943844,0.627044765,4.380657999,0.10773516
402.29,medium density,single_storey,2,No,walled,relatively new,35.71428571,56727.79286,3,2.350244328,1.477980847,4.654758781,1.242643721
410.34,medium density,single_storey,1,No,walled,relatively new,57.14285714,70071.52143,4,2.33054942,1.472224626,4.628755934,1.263175762
637.61,medium density,single_storey,1,No,walled,new,64.28571429,87370.78571,4,2.310802622,1.470182104,4.600114824,0.309544525
410.38,medium density,single_storey,1,No,walled,new,57.14285714,56590.14286,2,2.318160547,1.485034257,4.600502377,1.278907414
594.97,medium density,single_storey,1,No,walled,new,64.28571429,84496.42143,4,2.292128191,1.468499287,4.572971304,0.288829622
412.02,medium density,single_storey,1,Yes,walled,new,28.57142857,69655.9,3,2.281922511,1.466865965,4.55870681,0.242246625
420.99,medium density,single_storey,1,No,walled,new,57.14285714,70065.52857,3,2.284121729,1.385667577,4.619650848,0.315346877
425.62,medium density,single_storey,1,No,walled,new,35.71428571,61157.83571,4,2.298892343,1.415758756,4.620944808,0.316549033
413.38,medium density,single_storey,1,No,walled,relatively new,35.71428571,69345.42143,2,2.232634142,1.377689443,4.548118247,0.232785542
408.96,medium density,single_storey,1,No,walled,relatively new,35.71428571,60197.05,5,2.239579169,1.412917802,4.53379708,0.213015386
399.62,medium density,single_storey,1,No,walled,new,57.14285714,68062.00714,4,2.211242783,1.372728471,4.519827298,0.202791436
445.44,medium density,single_storey,1,No,walled,new,57.14285714,70441.72857,3,0.77929419,0.634399761,4.370771753,0.107138744
654.31,medium density,single_storey,2,No,walled,new,57.14285714,82235.24286,5,0.768430358,0.641902753,4.360624259,0.110846059
404.98,medium density,single_storey,1,No,walled,new,57.14285714,67987.58571,3,0.57277533,0.838559271,4.378265419,0.028188451
401.4,medium density,single_storey,1,No,walled,old,57.14285714,67750.85,3,0.567251807,0.84690904,4.371160145,0.01245111
432,medium density,single_storey,1,No,walled,old,57.14285714,69449.68571,3,0.561144106,0.859718976,4.356525071,0.016361197
410.41,medium density,single_storey,2,No,walled,relatively new,57.14285714,55002.65714,3,2.223063617,1.474369476,4.464731031,0.178445522
453.49,medium density,single_storey,1,No,walled,relatively new,35.71428571,60816.75,5,2.205182941,1.476541228,4.436456486,0.168025301
402.87,medium density,single_storey,1,No,walled,relatively new,57.14285714,67531.32857,4,2.174344731,1.416778494,4.434377236,0.126988126
420.84,medium density,single_storey,1,No,walled,relatively new,57.14285714,68506.67143,4,2.156887065,1.424363809,4.403281881,0.115020596
408.24,medium density,single_storey,1,No,walled,relatively new,35.71428571,58986.13571,5,2.189640719,1.480195745,4.410637305,0.164763787
410.41,medium density,single_storey,1,No,walled,relatively new,35.71428571,58805.12143,2,0.556456589,0.868747447,4.35014435,0.031275641
594.98,medium density,single_storey,1,No,walled,relatively new,64.28571429,82227.54286,6,0.550122311,0.879319814,4.346301389,0.045444104
409.85,medium density,single_storey,1,No,walled,relatively new,57.14285714,67379.94286,5,0.544246913,0.889931856,4.342336854,0.40926936
412.17,medium density,single_storey,1,No,walled,established,57.14285714,67511.67857,5,0.537716481,0.891565077,4.339664422,0.411007408
405,medium density,single_storey,2,No,walled,established,35.71428571,58366.61429,4,0.51484693,0.903634162,4.391664357,0.011375857
417.68,medium density,single_storey,1,No,walled,established,57.14285714,67766.69286,5,0.505704302,0.915829946,4.390473368,0.018822753
409.9,medium density,single_storey,1,No,walled,established,57.14285714,67068.39286,3,0.495844892,0.929558008,4.389156678,0.459577768
409.81,medium density,single_storey,1,No,walled,established,57.14285714,67037.00714,5,0.491621777,0.938195392,4.383665944,0.458517934
413.3,medium density,single_storey,1,No,walled,established,35.71428571,58278.75,5,0.464035697,0.953234354,4.427531324,0.042873682
400.68,medium density,single_storey,1,No,walled,established,57.14285714,66260.4,3,0.455752393,0.94443496,4.425386853,0.054931613
413.28,medium density,single_storey,1,No,walled,established,35.71428571,58058,4,0.445767737,0.928446137,4.425096845,0.069819186
417.87,medium density,single_storey,1,No,walled,established,57.14285714,67105.7,3,2.166975885,1.479526167,4.3775799,0.16248147
399.59,medium density,single_storey,2,No,walled,established,57.14285714,65962.13571,5,2.143813973,1.473816725,4.347739569,0.160991294
438.46,medium density,single_storey,1,No,walled,established,57.14285714,71283.93571,4,2.087893984,1.321758745,4.375397945,0.057999499
419.27,medium density,single_storey,1,No,walled,established,35.71428571,67001.99286,3,2.039902969,1.278243126,4.336628639,0.051883805
404.99,medium density,single_storey,2,No,walled,established,35.71428571,57499.52857,4,2.169543998,1.316840225,4.496675207,0.197038584
416.84,medium density,single_storey,1,No,walled,established,57.14285714,66403.87857,6,2.149939082,1.320150036,4.465905114,0.160078895
603.6,medium density,single_storey,1,No,walled,established,64.28571429,81360.75714,5,2.128166197,1.294820981,4.451359161,0.157471437
415.96,medium density,single_storey,1,No,walled,new,57.14285714,52843.99286,4,2.107547565,1.257733372,4.446125561,0.178294441
405,medium density,single_storey,1,No,walled,established,57.14285714,65531.46429,3,2.142351273,1.28954792,4.475348563,0.188219347
404.48,medium density,single_storey,2,No,walled,relatively new,35.71428571,56646.41429,5,2.141450919,1.297158182,4.468997823,0.176152424
418.04,medium density,single_storey,1,No,walled,relatively new,57.14285714,65987.26429,3,2.094393337,1.271319376,4.418441993,0.137405423
413.03,medium density,single_storey,2,No,walled,relatively new,35.71428571,56830.30714,4,0.613705776,0.80428222,4.331256617,0.052929629
451.78,medium density,single_storey,1,No,walled,relatively new,57.14285714,67863.32143,4,0.624085239,0.804010946,4.301876479,0.069848798
409.91,medium density,single_storey,1,No,walled,relatively new,57.14285714,65411.93571,3,0.584091996,0.852339569,4.312850916,0.373673556
412.89,medium density,single_storey,2,No,walled,old,57.14285714,65553.83571,4,2.010636727,1.09155548,4.412338557,0.25143881
403.09,medium density,single_storey,1,No,fenced,established,35.71428571,56341.70714,4,1.973946756,1.152817516,4.325247902,0.181307039
406,medium density,single_storey,1,No,walled,established,35.71428571,67969.25714,4,1.962619793,1.047546409,4.371850667,0.262728418
401.4,medium density,single_storey,1,No,walled,established,57.14285714,64677.92857,5,1.80518311,1.060306804,4.156131073,0.210177809
596.23,medium density,single_storey,1,No,walled,established,64.28571429,79973.27143,4,1.837251299,1.090893927,4.179724044,0.175890331
443.16,medium density,single_storey,1,No,walled,established,57.14285714,66902.65,4,1.831531372,1.076501615,4.180781564,0.186509217
405,medium density,single_storey,1,No,walled,relatively new,35.71428571,55996.07857,5,1.848053659,1.072028333,4.204977749,0.1821781
415.21,medium density,single_storey,1,No,walled,relatively new,35.71428571,56346.41429,2,1.784335529,1.033481058,4.144866142,0.235964302
401.4,medium density,single_storey,1,No,walled,relatively new,57.14285714,51540.73571,5,1.77862904,1.01620254,4.147394128,0.24868667
416.82,medium density,single_storey,1,No,walled,relatively new,57.14285714,65225.94286,3,1.775282886,1.033423063,4.133357499,0.241540262
400.59,medium density,single_storey,1,No,walled,old,57.14285714,64232.42857,3,1.749086476,1.024270067,4.105409062,0.263359509
417.6,medium density,single_storey,2,No,walled,old,57.14285714,65180.04286,4,1.741513434,1.037720776,4.088160281,0.265530286
453.46,medium density,single_storey,2,No,walled,old,35.71428571,57489.09286,3,1.764064542,0.986414013,4.145502822,0.274413947
